user_id,model,choice_model,iteration,country,user_count,jsd,bin_jsd,us_proportion,local_proportion,interaction_us_proportion,interaction_local_proportion,interaction_jsd,interaction_bin_jsd,jsd_summarized,interaction_jsd_summarized
,BPR,consume_all,1,global,655,0.6241134675521393,0.3350658165552429,0.5016793893129771,0.0865648854961832,0.5035567715458277,0.15143638850889193,0.0,0.0,0.32160209511678167,0.0
,BPR,consume_all,1,AR,7,0.6364085419786462,0.2710996376078712,0.4142857142857143,0.014285714285714285,0.5833333333333334,0.023809523809523808,0.0,0.0,0.27423164913747844,0.0
,BPR,consume_all,1,AT,6,0.7409105972709845,0.3216607536205514,0.43333333333333335,0.0,0.3132530120481928,0.012048192771084338,0.0,0.0,0.28222365683788037,0.0
,BPR,consume_all,1,AU,10,0.7188473266499595,0.3749609899313975,0.38,0.03,0.3302180685358255,0.09968847352024922,0.0,0.0,0.4544568945872031,0.0
,BPR,consume_all,1,BE,5,0.7182756935377131,0.3682421515644611,0.42,0.0,0.6078431372549019,0.0196078431372549,0.0,0.0,0.35225410128071505,0.0
,BPR,consume_all,1,BG,2,0.6132231544949152,0.4678032772835273,0.45,0.0,0.8255813953488372,0.0,0.0,0.0,0.23216061780089658,0.0
,BPR,consume_all,1,BR,84,0.6231923858467809,0.3505476420233467,0.5083333333333333,0.02261904761904762,0.531986531986532,0.08291245791245791,0.0,0.0,0.35182590597364977,0.0
,BPR,consume_all,1,BY,6,0.5959672170491968,0.3272520208718112,0.6,0.0,0.627906976744186,0.0,0.0,0.0,0.2879732805962825,0.0
,BPR,consume_all,1,CA,15,0.6162630657788201,0.37363430361808436,0.4866666666666667,0.04666666666666667,0.5528169014084507,0.09154929577464789,0.0,0.0,0.3512001806306924,0.0
,BPR,consume_all,1,CH,1,0.8884317219211884,0.32868152693085756,0.6,0.0,0.0,0.0,0.0,0.0,0.6291387780159147,0.0
,BPR,consume_all,1,CL,7,0.6433724351925347,0.271971060110573,0.5428571428571428,0.0,0.7487179487179487,0.0,0.0,0.0,0.28094604204414303,0.0
,BPR,consume_all,1,CN,3,0.5365170775492555,0.29317325120648624,0.5,0.0,0.65,0.0,0.0,0.0,0.1899914685365199,0.0
,BPR,consume_all,1,CO,4,0.5843816660989612,0.32672556239914124,0.575,0.025,0.48936170212765956,0.0,0.0,0.0,0.28221120917620623,0.0
,BPR,consume_all,1,CR,1,0.7897051136107196,0.10048722127111319,0.7,0.0,0.0,0.0,0.0,0.0,0.702440464210416,0.0
,BPR,consume_all,1,CY,1,0.702440464210416,0.7810163551494856,0.3,0.0,1.0,0.0,0.0,0.0,0.702440464210416,0.0
,BPR,consume_all,1,CZ,7,0.7184481835029587,0.19247258340032844,0.44285714285714284,0.0,0.2328767123287671,0.0,0.0,0.0,0.3081459732423321,0.0
,BPR,consume_all,1,DE,45,0.6381896281170631,0.3791605078016323,0.5111111111111111,0.006666666666666667,0.42948717948717946,0.016025641025641024,0.0,0.0,0.29602722965210987,0.0
,BPR,consume_all,1,DK,7,0.6573831679136525,0.27237297862256826,0.4142857142857143,0.0,0.55625,0.0125,0.0,0.0,0.31929938283125553,0.0
,BPR,consume_all,1,DO,1,0.4635253466360789,0.44095066958985746,0.6,0.0,0.5,0.0,0.0,0.0,0.08543510262458807,0.0
,BPR,consume_all,1,DZ,1,0.7173037730088039,0.3021672226386541,0.4,0.0,0.6,0.0,0.0,0.0,0.17043886160536084,0.0
,BPR,consume_all,1,EE,3,0.499688055093171,0.2950692040807177,0.5,0.0,0.51875,0.0,0.0,0.0,0.056088131828265254,0.0
,BPR,consume_all,1,EG,3,0.5762270303467815,0.1746191888473945,0.5,0.0,0.26,0.0,0.0,0.0,0.18555046249650384,0.0
,BPR,consume_all,1,ES,8,0.5713055153548876,0.18232448714400562,0.4625,0.0125,0.5352112676056338,0.0,0.0,0.0,0.36070480253890186,0.0
