user_id,model,choice_model,iteration,country,user_count,jsd,bin_jsd,us_proportion,local_proportion,interaction_us_proportion,interaction_local_proportion,interaction_jsd,interaction_bin_jsd,jsd_summarized,male_proportion,interaction_male_proportion,interaction_jsd_summarized
356,BPR,consume_all,1,US,1,0.829215354093896,0.5579230452841438,0.3,0.1,0.6875,0.0625,0.0,0.0,0.14601951751151374,0.6,0.8125,0.0
129,BPR,consume_all,1,DK,1,0.7308662162149704,0.4113330221378465,0.3,0.0,0.16666666666666666,0.0,0.0,0.0,0.3218793635499543,0.5,0.5,0.0
202,BPR,consume_all,1,US,1,0.4460541656854833,0.03821988608297511,0.3,0.1,0.0,0.4444444444444444,0.0,0.0,0.1946434414422777,0.5,0.2222222222222222,0.0
261,BPR,consume_all,1,RU,1,0.5753465560939771,0.5174885479282055,0.5,0.5,0.8484848484848485,0.8484848484848485,0.0,0.0,0.13646158094593988,0.1,0.9393939393939394,0.0
556,BPR,consume_all,1,BR,1,0.29908357928641444,0.8707908228691708,0.7,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.16271885406946238,0.4,1.0,0.0
20,BPR,consume_all,1,MX,1,0.4746345677932015,0.4172965067778762,0.7,0.0,0.3076923076923077,0.0,0.0,0.0,0.41950208705728553,0.2,0.15384615384615385,0.0
89,BPR,consume_all,1,SE,1,0.4375329153110768,0.5969516278656528,0.2,0.0,0.4329896907216495,0.09278350515463918,0.0,0.0,0.19998744627431306,0.0,0.07216494845360824,0.0
136,BPR,consume_all,1,BR,1,0.755869772974878,0.32868152693085756,0.3,0.3,0.8297872340425532,0.8297872340425532,0.0,0.0,0.028264413553341666,0.7,0.23404255319148937,0.0
448,BPR,consume_all,1,DK,1,0.48054748266334424,0.677604543245723,0.7,0.2,0.6666666666666666,0.0,0.0,0.0,0.07117692676702869,0.2,0.0,0.0
587,BPR,consume_all,1,BR,1,0.5508701742028883,0.2460260755704589,0.8,0.1,0.058823529411764705,0.6470588235294118,0.0,0.0,0.4130533713673069,0.1,1.0,0.0
576,BPR,consume_all,1,BR,1,0.8236601687889367,0.22781387210026435,0.6,0.2,0.0,1.0,0.0,0.0,0.6696703859163686,0.5,1.0,0.0
